TEAM,2022 PPG,2021 PPG,2022 Shooting Percentage,2021 Shooting Percentage,2022 Assists pg,2021 Assists pg,2022 Turnover pg,2021 Turnover pg,2022 Total Rebound pg,2021 Total Rebound pg
Atlanta,118.2,113.1,48.10,46.90,25,24.2,12.9,12.1,51.5,51.2
Boston,117.1,110.3,47.70,46.20,26.2,24.8,13.1,13.9,51.9,52.7
Brooklyn,112.4,112.7,48.50,47.70,25.4,25.2,13.7,14.1,47.3,52
Charlotte,111,115.2,45.70,46.70,25.1,28,14.2,13.3,52.9,52.2
Chicago,112.8,110.7,49.00,47.60,24.4,23.8,13.3,12.9,48.9,49.3
Cleveland,111.2,107.7,48.60,46.90,24.8,25.2,13.5,14.4,48.4,51.8
Dallas,114.2,107.7,47.50,45.90,22.9,22.6,12.2,12.1,47.5,49.5
Denver,115.9,112.6,50.20,48.20,28.4,27.6,14.1,14.6,51.1,51.4
Detroit,110.3,104.8,45.40,43.10,23,23.5,15.1,14.2,51.3,50.9
Golden State,118.1,111.2,47.40,47.10,29.6,27.1,16,14.8,52.8,53.1
Houston,110.7,109.7,45.70,45.60,22.4,23.6,16.2,16.5,55.9,51.8
Indiana,116.3,111.5,46.90,46.30,27,25.4,14.9,14.4,50,52.8
LA Clippers,113.7,108.3,47.60,45.70,23.8,23.9,14.2,13.7,51.3,51.5
LA Lakers,116.3,112.1,47.90,46.90,25.2,24,13.8,14.5,54.1,52.7
Memphis,116.1,115.2,47.00,45.80,25.9,25.9,13.6,13.3,55.4,57.9
Miami,109.8,109,46.10,46.30,23.8,24.8,13.2,14.3,48.8,51.1
Milwaukee,117,113.9,47.30,46.40,25.9,23.5,14.6,13.5,56.7,55.2
Minnesota,115.1,115.4,48.80,45.60,26,25.4,15.3,14.5,49.9,52.2
New Orleans,114.4,109.3,48.00,45.80,25.9,24.7,14.5,14,51.9,53.3
New York,114.1,106.5,46.60,43.70,22.4,21.9,13.2,13.3,55.3,55.3
Okla City,117.3,103.7,46.40,43.00,24.4,22.2,13,14,51.5,53.4
Orlando,111.4,104.2,47.00,43.40,23.2,23.7,15.1,14.5,51.5,52.6
Philadelphia,113.7,109.2,48.10,46.60,24.4,23.5,13.5,12.8,48.5,49.2
Phoenix,113.7,113.8,47.10,48.60,26.9,27.1,13.4,13,52,51.6
Portland,113.4,106.2,47.40,44.20,24.2,22.9,14.5,14.5,48.4,50.7
Sacramento,120.2,110.3,48.90,46.00,26.9,23.7,13.5,14.1,50.7,51
San Antonio,113,113,46.50,46.60,27.2,27.8,15.3,12.6,52.1,53.2
Toronto,112.8,109,45.80,44.50,23.9,22,11.7,12.3,51,53.2
Utah,117.1,112.6,47.30,46.90,26,22,15.4,13.9,54.2,54.8
Washington,113.2,108.6,48.50,47.20,25.4,25,14.1,13.1,51.3,50.6